brand,model,year,price,color,mileage,body_type,damage,owners,usage,service_hist
Volkswagen,Jetta SEL Premium,2016,10995,Black,104317,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2015,10876,Black,56139,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan,2016,13888,Black,37176,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,No service history
Volkswagen,Golf SE,2015,14795,Black,22937,Wagon,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan Wolfsburg Edition,2017,17758,Black,26060,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf,2016,26400,White,55911,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf SE,2016,19371,Black,20260,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2016,11793,Silver,11255,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf,2018,37900,Black,11879,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE w/Connectivity,2016,13495,Black,36095,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Beetle SEL,2016,15456,White,23374,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SEL,2016,15495,Black,15105,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SEL,2016,11888,Black,52947,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,No service history
Volkswagen,Atlas SEL,2019,38587,Gray,15034,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan Limited,2017,14579,Black,43474,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan S,2016,15487,Gray,36010,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan SEL,2018,22882,White,13611,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Lease Use,Service history
Volkswagen,Golf,2014,11998,Silver,46270,Hatchback,No Accident or Damage Reported,3+ Owners,Personal Use,Service history
Volkswagen,Tiguan S,2016,14250,Blue,40457,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2018,13989,Gray,12588,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Corporate Use,Service history
Volkswagen,Tiguan Sport,2017,18695,White,39366,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Beetle,2014,12455,Black,73221,Convertible,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan S,2018,19000,Gray,15731,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Passat SE,2017,17000,Gray,22301,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan S,2018,19989,White,14015,SUV,Accident/Minor Damage,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan S,2016,15250,White,31807,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf,2017,29400,Gray,41380,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf SE,2015,18995,Gray,37448,Hatchback,No Accident or Damage Reported,2-Owner,Personal Use,Service history
Volkswagen,Tiguan Limited,2017,16740,White,15095,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan S,2017,15600,Black,34738,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan S,2016,13950,Gray,46631,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SEL,2019,20542,Blue,6157,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Lease Use,Service history
Volkswagen,Tiguan S,2016,13800,Silver,49138,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan S,2016,14550,White,41943,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta Premium,2014,12800,Blue,39140,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf,2016,25950,Black,61473,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Passat S,2016,11699,Silver,36236,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Beetle,2014,12999,Red,41663,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan SEL Premium,2018,28222,Gray,8636,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Lease Use,Service history
Volkswagen,Tiguan SE,2018,21222,Red,11555,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Lease Use,Service history
Volkswagen,Passat SE,2017,17999,Blue,14819,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SEL,2019,21100,White,9025,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan S,2016,15454,Black,31909,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta,2014,11993,Gray,43970,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan S,2016,16995,Blue,27795,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Eos Executive,2013,8995,Black,119676,Convertible,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Beetle Wolfsburg Edition,2016,13987,Black,16069,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2017,12784,Gray,31585,Sedan,Accident Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Touareg,2014,18990,Black,75312,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SEL,2016,13442,Silver,23325,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SEL,2016,14795,White,24706,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2015,9990,Gray,75227,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan SE,2016,16059,Silver,35873,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Passat SEL Premium,2015,11900,Black,79326,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Eos Komfort,2015,19418,Silver,36906,Convertible,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf,2017,19662,Blue,33797,Wagon,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE,2016,14487,Gray,24822,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2018,15987,Gray,5550,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2016,9990,Black,30147,Sedan,Accident Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Atlas SE w/Technology,2018,30987,Black,19360,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Passat SE,2016,12277,White,41352,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,R32,2008,8789,Blue,126160,Hatchback,No Accident or Damage Reported,3+ Owners,Personal Use,Service history
Volkswagen,Jetta S,2016,11994,Black,18195,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta,2014,11826,Gray,15860,Sedan,No Accident or Damage Reported,2-Owner,Personal Use,Service history
Volkswagen,Golf SE,2015,17166,Black,44161,Hatchback,Accident Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf S,2017,18884,White,33025,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Lease Use,Service history
Volkswagen,Tiguan S,2017,15882,Black,38191,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,CC R-Line,2016,19000,White,19847,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Passat,2016,15945,White,17644,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE,2017,15194,Black,26616,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SEL,2016,15687,Blue,20133,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SEL,2016,14978,Black,34888,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SEL,2016,15884,Black,33577,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SEL,2016,13442,Silver,23325,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE,2017,15194,Black,26616,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta Sport,2016,15999,Black,30806,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE,2016,15999,White,13104,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2017,14595,Black,31762,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Beetle SE,2016,15450,White,16473,Hatchback,No Accident or Damage Reported,2-Owner,Personal Use,Service history
Volkswagen,Jetta GLI,2017,16888,Black,35270,Sedan,Accident Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf S,2016,17495,Gray,30484,Hatchback,No Accident or Damage Reported,2-Owner,Personal Use,Service history
Volkswagen,Jetta SEL,2014,10977,White,32725,Sedan,No Accident or Damage Reported,2-Owner,Personal Use,Service history
Volkswagen,Atlas SE,2018,23559,Black,33380,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Rental Use,Service history
Volkswagen,Golf,2017,15995,Black,29421,Hatchback,Accident Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2012,4990,Blue,104000,Sedan,No Accident or Damage Reported,2-Owner,Personal Use,Service history
Volkswagen,Touareg Luxury,2016,28333,White,18476,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf S,2016,19377,Black,30578,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf S,2017,19463,Blue,41244,Wagon,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf SE,2016,21697,Blue,27002,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE,2016,15995,Gray,5650,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta,2019,21118,Gray,6045,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf S,2018,23274,White,6991,Wagon,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta Sport,2016,15923,Red,13520,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan SE,2018,24985,White,10752,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf S,2016,14849,Red,82357,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf Rabbit Edition,2019,27898,White,5063,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Atlas SEL,2018,38999,Silver,5899,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2016,13105,Black,13319,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan S,2016,15951,White,30855,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan SE,2016,17073,Blue,43960,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2016,13105,Black,13319,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan SE,2016,17073,Blue,43960,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta R-Line,2019,19363,Gray,9694,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SEL,2017,17696,White,10852,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan S,2016,15398,Gray,29770,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S,2019,18548,Blue,1439,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SEL,2016,13794,Gray,42455,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta S w/Technology,2016,13046,Blue,20589,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan S,2016,15525,Gray,35345,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta R-Line,2019,19942,Gray,13113,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Golf S,2015,12828,Blue,66643,Hatchback,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan SE,2016,18995,Blue,27027,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,CC Sport,2010,4895,Black,103368,Sedan,No Accident or Damage Reported,3+ Owners,Personal Use,Service history
Volkswagen,Tiguan,2010,8998,Gray,60977,SUV,No Accident or Damage Reported,2-Owner,Personal Use,Service history
Volkswagen,Jetta SEL,2019,19900,White,8268,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta GLI SE,2016,18258,Black,12893,Sedan,Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta SE,2017,12500,White,41045,Sedan,Accident Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Passat SE,2012,6995,Black,98988,Sedan,No Accident or Damage Reported,2-Owner,Personal Use,Service history
Volkswagen,Tiguan SE,2016,13599,Blue,53453,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Passat SE,2016,14580,White,26618,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,No service history
Volkswagen,Tiguan SEL,2018,26577,Black,4858,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Tiguan S,2017,15599,White,25676,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,No service history
Volkswagen,Tiguan S,2017,16994,Black,13959,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,No service history
Volkswagen,Tiguan S,2018,20500,Red,4128,SUV,No Accident or Damage Reported,CARFAX 1-Owner,Corporate Use,Service history
Volkswagen,Golf S,2017,20700,White,6531,Wagon,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,No service history
Volkswagen,Jetta S,2017,12900,Black,22485,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Jetta Sport,2016,13995,White,13103,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Personal Use,Service history
Volkswagen,Passat Wolfsburg Edition,2019,20526,Black,5969,Sedan,No Accident or Damage Reported,CARFAX 1-Owner,Corporate Use,Service history
